grp,threshold_mm,lead_days,FAR,FAR_lo,FAR_hi,n_points
10_24,1.0,1,0.6193548387096774,0.527270256916996,0.7040882874889086,1
10_25,1.0,1,0.42419481539670073,0.3878118046460768,0.4618350789144371,4
10_26,1.0,1,0.4928270042194093,0.4432035212440835,0.545074131876707,3
11_24,1.0,1,0.5078125,0.45519799562397434,0.5604924554587551,2
11_25,1.0,1,0.6139677666922486,0.5768781935277837,0.6507004289536162,4
11_26,1.0,1,0.7111459968602826,0.6624385223342184,0.757929124836316,3
12_24,1.0,1,0.7139830508474576,0.6476573399939061,0.780299303134288,2
12_25,1.0,1,0.5400696864111498,0.4577847805788982,0.617546439628483,1
3_25,1.0,1,0.4868035190615836,0.4333159392789374,0.5464233119395112,2
3_26,1.0,1,0.5699558173784978,0.51996711509716,0.6206150104999125,2
4_25,1.0,1,0.3901162790697674,0.35010013151602104,0.4338013405834274,4
4_26,1.0,1,0.5384052670080468,0.5003509719222462,0.5748574727574511,4
5_24,1.0,1,0.26713124274099886,0.2127498388136686,0.33026691953416226,2
5_25,1.0,1,0.5111591072714183,0.4751945582680311,0.5459803528468324,4
5_26,1.0,1,0.4806201550387597,0.4464041246656577,0.5170558020969189,4
5_27,1.0,1,0.5412371134020618,0.4820754838047328,0.5984266881412551,1
6_24,1.0,1,0.36601941747572814,0.3183708895664044,0.41812689113915347,3
6_25,1.0,1,0.4541864139020537,0.4149645321013886,0.4943861082737487,4
6_26,1.0,1,0.3708040593286495,0.3341085490586531,0.41030616521614915,4
6_27,1.0,1,0.44041450777202074,0.40437792166648334,0.47881253826033726,4
6_28,1.0,1,0.47555012224938875,0.4287102976626725,0.5232760850642816,2
7_23,1.0,1,0.4604486422668241,0.4161054613453558,0.5069638457737421,4
7_24,1.0,1,0.3768796992481203,0.3360330244542603,0.4199658698942756,4
7_25,1.0,1,0.34001670843776105,0.3053711064513612,0.37755874118439237,4
7_26,1.0,1,0.2936833470057424,0.2605420942306685,0.32983557003960623,4
7_27,1.0,1,0.3167044595616024,0.2836152540198004,0.3508548996904047,4
7_28,1.0,1,0.30337078651685395,0.26801443169105676,0.3387547020992598,4
7_29,1.0,1,0.32169576059850374,0.2716475101688648,0.3823566176470588,1
8_23,1.0,1,0.3709090909090909,0.2929269328802039,0.4525742092457421,3
8_24,1.0,1,0.39166666666666666,0.34547305764411024,0.4385538648725335,4
8_25,1.0,1,0.367816091954023,0.3336699840970053,0.4025291062511683,4
8_26,1.0,1,0.380506091846298,0.34828981929495406,0.417680607035457,4
8_27,1.0,1,0.41725978647686834,0.37919217874106087,0.46376455434503916,4
8_28,1.0,1,0.43253968253968256,0.3947240026295246,0.46768691243252614,4
8_29,1.0,1,0.4519104084321476,0.40217928231836025,0.5006942806415831,2
8_30,1.0,1,0.30719377835385614,0.27881546098840365,0.3351107231432621,3
8_31,1.0,1,0.3504330446369087,0.3164218043973311,0.3833214459887832,3
9_23,1.0,1,0.4827586206896552,0.3983660904570211,0.5853781719635378,2
9_24,1.0,1,0.46153846153846156,0.41327251080998406,0.5155560814401489,4
9_25,1.0,1,0.4409448818897638,0.4011092400690846,0.47622265122265117,4
9_26,1.0,1,0.39945155393053017,0.3640330208529552,0.4381435358796973,4
9_27,1.0,1,0.49825783972125437,0.4404594703049759,0.5535431235431235,2
9_28,1.0,1,0.5527522935779816,0.49424472986178974,0.614400573050557,1
9_30,1.0,1,0.25757575757575757,0.20705521472392638,0.3102902676196808,1
9_31,1.0,1,0.3486005089058524,0.3135993731354556,0.3826098203027999,3
9_32,1.0,1,0.4562012142237641,0.4176279323098749,0.49824701959839834,2
10_24,1.0,2,0.6285714285714286,0.5514676073131956,0.709204081632653,1
10_25,1.0,2,0.4407176287051482,0.40567852229948453,0.4808361280487805,4
10_26,1.0,2,0.48376068376068376,0.43520612804021025,0.5369971483919097,3
11_24,1.0,2,0.5253333333333333,0.4735286323009769,0.5754548437464642,2
11_25,1.0,2,0.6168371361132966,0.5788682175626769,0.6562472802906135,4
11_26,1.0,2,0.7053872053872053,0.6568081051976241,0.7557985805648086,3
12_24,1.0,2,0.7164179104477612,0.6513356951561544,0.7812516587048832,2
12_25,1.0,2,0.5474452554744526,0.462685239284007,0.6245723684210527,1
3_25,1.0,2,0.49524714828897337,0.4400331776782679,0.5577874692837285,2
3_26,1.0,2,0.5784883720930233,0.5259908285084798,0.63547421370405,2
4_25,1.0,2,0.4006908462867012,0.36172331594969315,0.44477102301804095,4
4_26,1.0,2,0.5557971014492754,0.5182845347004317,0.5928130269693047,4
5_24,1.0,2,0.2632794457274827,0.20348184319453932,0.32752081852340814,2
5_25,1.0,2,0.5225483178239084,0.4875060263064748,0.5583935412602533,4
5_26,1.0,2,0.5055031446540881,0.4692309587856357,0.5395487142710789,4
5_27,1.0,2,0.5456989247311828,0.482831917978459,0.6084212747994935,1
6_24,1.0,2,0.35826771653543305,0.3110171875135224,0.40418827229772153,3
6_25,1.0,2,0.4637002341920375,0.42182312842702074,0.5049210603768549,4
6_26,1.0,2,0.3843167701863354,0.34826281418195737,0.4232895113431929,4
6_27,1.0,2,0.44983818770226536,0.41322003210147196,0.4882843796099694,4
6_28,1.0,2,0.4758961681087763,0.43039446442192436,0.5224212585797678,2
7_23,1.0,2,0.4691211401425178,0.42657301570345046,0.5206623795784635,4
7_24,1.0,2,0.39190432382704693,0.35085486747557687,0.4349835376845492,4
7_25,1.0,2,0.34833333333333333,0.31254601811495,0.38898612151363793,4
7_26,1.0,2,0.31377343113284434,0.2787497322943609,0.35396376405873275,4
