threshold_mm,lead_days,n_points,n_blocks,base_rate_min,base_rate_max,base_rate_sd,HSS_pooled,HSS_strat,HSS_gap,HSS_median,HSS_q1,HSS_q3,HSS_min,HSS_max,HSS_undefined_points,PPV_pooled,PPV_strat,PPV_gap,PPV_median,PPV_q1,PPV_q3,PPV_min,PPV_max,PPV_undefined_points,NPV_pooled,NPV_strat,NPV_gap,NPV_median,NPV_q1,NPV_q3,NPV_min,NPV_max,NPV_undefined_points,HSS_null_pooled,HSS_null_strat,null_share_of_pooled,HSS_pooled_lo,HSS_pooled_hi,HSS_strat_lo,HSS_strat_hi,HSS_gap_lo,HSS_gap_hi,PPV_pooled_lo,PPV_pooled_hi,PPV_strat_lo,PPV_strat_hi,PPV_gap_lo,PPV_gap_hi,NPV_pooled_lo,NPV_pooled_hi,NPV_strat_lo,NPV_strat_hi,NPV_gap_lo,NPV_gap_hi
1.0,1,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5663495581698749,0.5396839494363539,0.026665608733520973,0.5620416528494311,0.4663301790977058,0.6209746744421885,-0.001849420206765179,0.7584070219248795,0,0.5768819837065396,0.567945087946406,0.008936895760133678,0.5807692307692308,0.48798769940418985,0.6574617654142582,0.0594059405940594,0.8183807439824945,0,0.9469017043013319,0.9457035020578821,0.0011982022434497974,0.952112676056338,0.9345821661998133,0.9625555096692617,0.6964285714285714,0.9891472868217054,0,0.05208585245119161,1.2039321379819595e-18,0.09196767561628186,0.5124320917486243,0.5984768789587289,0.48058318289458823,0.5740935450160634,0.010533413894683253,0.04820524915998378,0.5179132502369308,0.6147632448699698,0.5124326198616488,0.6049947963269308,-0.00074338057696439,0.020750744405585563,0.9393217354992401,0.9527112489623915,0.9372812686601089,0.9523165866841243,-0.0003032099516382641,0.003223801218295619
1.0,2,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5524055902957654,0.5244308469444594,0.02797474335130601,0.5363912615695391,0.450784396015905,0.6087652973163019,-0.0008199165175909362,0.775091547716912,0,0.5682464876400498,0.5576876591390879,0.010558828500961903,0.5652173913043478,0.4687331251978425,0.6508439798683701,0.06,0.8247191011235955,0,0.9426251045025678,0.9413519664785366,0.001273138024031173,0.947098976109215,0.9282118887823586,0.9621294666554914,0.7009803921568627,0.9890310786106032,0,0.0520075815945124,1.7144086377522344e-18,0.0941474570644132,0.5021244247892173,0.5831769941912224,0.4669214308236537,0.5595808334902724,0.01128289933550328,0.05098407650283157,0.5151898812512422,0.6070087438461567,0.5043030660878254,0.5963291366468898,0.0006691092026824971,0.02334870235070235,0.93372017602755,0.94940645098341,0.9319399750338149,0.948746142928247,-0.00014973079148590247,0.0031377723311934785
1.0,3,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5397939491500693,0.5103199970652633,0.029473952084805966,0.5325480769230769,0.4432592211068198,0.5967071141083145,-0.018975051321410738,0.7584070219248795,0,0.5604529810147663,0.5492624791823206,0.011190501832445632,0.5605095541401274,0.45634720470786044,0.6399428804569564,0.04950495049504951,0.8177676537585421,0,0.9387420977784151,0.9372801029865051,0.001461994791910004,0.9428571428571428,0.9232441872410369,0.9577504944603907,0.7061688311688312,0.9907578558225508,0,0.05176822995499457,1.1181828896483354e-19,0.09590368702077165,0.49021093268608346,0.5713852069695158,0.4523289284973648,0.5457241615058962,0.011628363088659518,0.05235362979223366,0.5075921647607546,0.5993600605260596,0.4953906019683828,0.5885869535698722,0.0009699874059725362,0.024655308020137406,0.9290801474491217,0.9459026679566322,0.927142792580761,0.9453541733501835,-2.3946367463603678e-05,0.0034653515669016395
1.0,4,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5292041129467742,0.49799935658757055,0.03120475635920361,0.5165699532358394,0.4305090449551435,0.5822802134204081,-0.01433622876470136,0.7540928616021095,0,0.5564505242316519,0.5441601786687477,0.012290345562904204,0.5488958990536278,0.45260942760942763,0.6363611830742659,0.052083333333333336,0.8167420814479638,0,0.9331418806664451,0.9315629957886958,0.0015788848777492648,0.9381720430107527,0.9185023255813953,0.9554452715743038,0.7112561174551386,0.9853479853479854,0,0.05263036659314794,2.3326138416164594e-18,0.09945192281308167,0.47914218287060384,0.5616282167597587,0.43904379360820894,0.5348173781999945,0.013143061735892162,0.0566057955414538,0.5024839178442496,0.5961210173297116,0.49113059469102316,0.5837405156318746,0.0012536693251250452,0.02671927307435243,0.9232526651936538,0.9404791830992192,0.921496393248949,0.9394543287680137,0.00012904976266121527,0.0034493669862513676
1.0,5,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5159784195748242,0.48424824324791116,0.031730176326912995,0.5016085774580219,0.4198448000509805,0.5676471638235776,-0.024121427073203288,0.7375039500343885,0,0.546583850931677,0.5328031944868715,0.013780656444805528,0.5340501792114696,0.4431508967223253,0.6242977528089888,0.04639175257731959,0.8088888888888889,0,0.9306163852258488,0.9285464754553646,0.0020699097704841574,0.9346210995542348,0.9163119974837327,0.9498822605965462,0.7043189368770764,0.9836065573770492,0,0.052210169292697256,8.6002883434226e-19,0.10118673051427114,0.4673130936342604,0.546677146076011,0.42672331835055216,0.5194855733107351,0.012680317954693139,0.057112379531441326,0.49429018697380883,0.5865705060359588,0.4795968600097546,0.5721310027027001,0.0027201562679371183,0.028660815278871425,0.9205039339461853,0.9377406828386176,0.9174035047026681,0.9365866207309086,0.00030911158733733793,0.004456493395062087
1.0,6,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.5022792464830376,0.46917601629094635,0.033103230192091215,0.48619875859109707,0.4077437097651163,0.5536785174413887,-0.053856602665296086,0.7546815628926533,0,0.5335569017741237,0.5181534462365038,0.015403455537619903,0.5221238938053098,0.43756780677211216,0.6101101134121962,0.029411764705882353,0.810989010989011,0,0.9308434552815963,0.9290575591135395,0.0017858961680567997,0.9342857142857143,0.9165818127511676,0.9504746835443038,0.7067796610169491,0.9891304347826086,0,0.051246428147944216,-1.516042290470181e-18,0.10202776345383972,0.4456146844339723,0.5363729126135862,0.40622547474014964,0.5072428292314909,0.013282994341840063,0.05924020988313156,0.47673047309488875,0.5754149033760817,0.4604358777858018,0.5599544631935881,0.0038746961222328627,0.030677216262194426,0.9214366209064538,0.9378127937944172,0.9192771974318584,0.937026031212239,0.00013947666345360266,0.003863799037687358
1.0,7,139,12,0.05939524838012959,0.5356371490280778,0.10031748574698493,0.48722324447524784,0.4540534902304518,0.03316975424479607,0.4742715654153015,0.38223849860471887,0.5360945168411941,-0.04639723477798458,0.7275524151511641,0,0.5207396618326895,0.5062832086263963,0.014456453206293185,0.5048076923076923,0.4143184785293391,0.595980751921346,0.034482758620689655,0.814498933901919,0,0.9299615200206538,0.9283469637032418,0.0016145563174120303,0.9310850439882697,0.9183112146312967,0.9519495927659847,0.7037671232876712,0.9803536345776032,0,0.0512799244665826,1.2081518611452556e-18,0.1052493390823593,0.43252292901540845,0.5227121754390457,0.39305408422489035,0.49139033037643504,0.012658202358427942,0.05981077828283637,0.46543725882588205,0.5675625029538649,0.4520211412342567,0.5501184580532896,0.0031359393772191005,0.02964012177486858,0.9208264884510995,0.9362318816273082,0.9188115634586229,0.93550640607316,4.152506314732409e-05,0.0037383109967468304
2.5,1,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.5465245406462014,0.5165028740928994,0.030021666553301962,0.5264928087346686,0.4524775928179736,0.5941517651143626,-0.03472883572689294,0.7790830275645216,0,0.5463660583837052,0.5351526030429556,0.011213455340749579,0.5335968379446641,0.4614943891259681,0.6182194616977226,0.029197080291970802,0.8037383177570093,0,0.9468376560384619,0.9452607878691187,0.0015768681693432152,0.9507575757575758,0.9374506533715391,0.9651699861128201,0.7134831460674157,0.9848675914249685,0,0.04829937159832623,-4.1210219460891663e-19,0.08837548546533312,0.5052560845984433,0.5701633264630133,0.4602507648862635,0.5508693497582832,0.012825858666166824,0.05197169534968936,0.4991427540418639,0.5738415506784605,0.48121643609961745,0.5704453905089383,-9.402565251752864e-05,0.024827644035452793,0.9385136913698492,0.9534112947815155,0.9361939683649635,0.9525163955596218,0.0002587225631672241,0.003419571762618393
2.5,2,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.5291827032893799,0.49825930918317674,0.03092339410620315,0.5085240832959314,0.43182734578361376,0.5785534448652291,-0.037901585019675686,0.7835013670132311,0,0.5343823176652007,0.5220710363624987,0.012311281302701982,0.5227272727272727,0.43859436125725076,0.614448051948052,0.027586206896551724,0.7980997624703088,0,0.9429431352459017,0.9413326588700675,0.0016104763758342244,0.9485627836611196,0.9290894439967767,0.9618869751677388,0.7017045454545454,0.9853917662682603,0,0.04886265344908861,-2.3450467427375483e-18,0.09233607437537203,0.49259041231672673,0.5528314300661655,0.4490082409182956,0.5329949465277706,0.013415356334023429,0.05219997390601786,0.49169916222607396,0.5618100666620895,0.4748871421634382,0.5574156217023251,0.00012035585579230086,0.025310879816980818,0.93343257214729,0.9504823921167127,0.931284340576978,0.9494194720036558,0.0002611533145559092,0.00341692528718181
2.5,3,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.5145524826668383,0.48055578894555384,0.03399669372128444,0.4891654530208747,0.4117744976806682,0.568450322097507,-0.04541642474679053,0.771241799014694,0,0.5259088949561719,0.5114188656073011,0.014490029348870781,0.5125,0.42244768759163004,0.610070161334527,0.022388059701492536,0.7855477855477856,0,0.9386705565434045,0.9369948192594708,0.0016757372839336648,0.944954128440367,0.9251431952427358,0.9588037103281893,0.695054945054945,0.9868766404199475,0,0.048417804813393354,1.3373712236643516e-18,0.09409692197470719,0.47697084821930363,0.5355346390875357,0.42604186157715496,0.5129766001505016,0.014825967409997113,0.05886310502629224,0.48145626033587885,0.5540115491899263,0.4591436839962487,0.5463630069431573,0.0018465348478800606,0.028965119192944654,0.9283335881793116,0.9466664221185608,0.9262705941312681,0.9455659753216561,0.00028809831230605377,0.0034757219941585486
2.5,4,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.5022010853838282,0.46686050873675533,0.03534057664707291,0.469239587313718,0.399185168707411,0.5542025725772248,-0.04117703519861783,0.7681632847707385,0,0.5200465861115156,0.5048874206603422,0.015159165451173351,0.5092592592592593,0.42471885173128143,0.6008836803580233,0.024390243902439025,0.7890995260663507,0,0.9343216522374932,0.9323651200673976,0.001956532170095615,0.9403225806451613,0.9197991847099706,0.951850769530489,0.6879240162822252,0.9804941482444733,0,0.04853325063556232,1.0796878703817647e-18,0.09664107077440652,0.4670153882214176,0.5249083263725328,0.41593258073901673,0.5015143728401704,0.015718879904875662,0.059794170434186465,0.4777719225223342,0.5493481998407735,0.45479764477725054,0.5425514367017578,0.0017371120574609128,0.030384663521889822,0.9234205713005489,0.9430171187410936,0.920771656765903,0.9419395094487664,0.0003620804073250439,0.004007641125567372
2.5,5,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.48460402984533946,0.4472346208323697,0.037369409012969756,0.45541250623266044,0.3768551684216449,0.5243646764123737,-0.05486875985817706,0.7702463486671025,0,0.506015102357231,0.4877795910700966,0.01823551128713441,0.4831932773109244,0.4027982889443398,0.5750463624479372,0.015873015873015872,0.7909738717339667,0,0.9314586994727593,0.9294188543020955,0.002039845170663801,0.9358372456964006,0.915875830581713,0.9490842977402162,0.6882758620689655,0.981651376146789,0,0.04858006185129776,-1.8810588030766714e-18,0.10024692090736845,0.4507460369822812,0.5058054419576516,0.39988420786054796,0.4789867709309687,0.016848596831603495,0.06345918862495,0.46412324608946337,0.5356218555511367,0.4392980100970208,0.5250704278602191,0.004389685967815736,0.033727000351296124,0.9207678473557467,0.9399743977656232,0.9180847868474784,0.9389298635628192,0.0003726564242504227,0.004328984137819569
2.5,6,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.47201749422921196,0.4343925095364731,0.03762498469273884,0.43830372307443455,0.3737566764218747,0.5083476554007871,-0.04431068623208361,0.7383895122194419,0,0.4933098689907539,0.4740833730385787,0.019226495952175182,0.4728434504792332,0.39391437308868504,0.564565083755955,0.022900763358778626,0.7674418604651163,0,0.93113060323952,0.9290374763954172,0.0020931268441027884,0.9352850539291218,0.914516860470091,0.9508668684161892,0.6965811965811965,0.9792207792207792,0,0.04799263357728208,4.264812395945507e-19,0.10167553991966415,0.4338968657396996,0.4949309948873845,0.38323419860238755,0.4678441714625849,0.016760996779767022,0.06314772276212924,0.44903159547267457,0.5247630797387,0.42315846045447564,0.5114020035012123,0.006160595819987962,0.03439494740407899,0.9204012366495139,0.939561911091729,0.9177752198334136,0.9381827458888442,0.000474746857108685,0.004153798433205292
2.5,7,139,12,0.03347732181425486,0.4611231101511879,0.08659021025148249,0.4607423631191063,0.4204306756461512,0.040311687472955104,0.4239663817085738,0.3552768738407754,0.4903258081915426,-0.060197146880548585,0.7412881137623889,0,0.4821078431372549,0.4611785194402851,0.020929323696969815,0.45726495726495725,0.37808866279069764,0.5547089799151872,0.013888888888888888,0.7655172413793103,0,0.930908537513316,0.9291226385104934,0.0017858990028226662,0.9329173166926678,0.9174382716049383,0.9509757869381646,0.7070707070707071,0.9802110817941952,0,0.04847434017374095,9.112967010635742e-19,0.1052092102961452,0.4215973416590763,0.48349981641888923,0.36927151237975697,0.45226215485252474,0.017962467377198005,0.06885631694938686,0.4344931245914947,0.5156883274964401,0.4100032848582459,0.5002359003774749,0.006748739353816755,0.037910063246138395,0.9215343477811837,0.939167563917538,0.9193403224219473,0.9380271351053975,0.0002466315987201151,0.0037860733797477454
