truth,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,hits,false_alarms,misses,correct_neg,n,POD_lo,FAR_lo,CSI_lo,BIAS_lo,HSS_lo,POD_hi,FAR_hi,CSI_hi,BIAS_hi,HSS_hi
IMD,1.0,1,0.8534874530725153,0.42311801629346035,0.5249012658227848,1.479483633010604,0.5663495581698749,25917.0,19009.0,4449.0,79339.0,128714.0,0.8196009069658448,0.38515626067958164,0.47201798446299825,1.4028971653208424,0.5141908138674087,0.8799389748359996,0.4772889771124804,0.5638285936863542,1.605291278790911,0.5970816245465469
IMD,1.0,2,0.8417967463610617,0.4317535123599502,0.5134168876034386,1.4813936639662781,0.5524055902957654,25562.0,19422.0,4804.0,78926.0,128714.0,0.8058623535043139,0.3931344076365534,0.4593855459651825,1.4046553631758674,0.49993977360447944,0.8690535637394271,0.48673520015442506,0.5523831864130444,1.6046015290519628,0.5831873783951889
IMD,1.0,3,0.8311927814002503,0.4395470189852337,0.5031797611690357,1.4830731739445433,0.5397939491500693,25240.0,19795.0,5126.0,78553.0,128714.0,0.7916738367857332,0.39873058788680743,0.45148231076294976,1.3987514504943186,0.4895347550034782,0.8639182605274472,0.4935659819293796,0.5451814900362798,1.6121933998650362,0.5711963345372704
IMD,1.0,4,0.8144635447540012,0.44354947576834813,0.49384984025559103,1.4636764802739906,0.5292041129467742,24732.0,19714.0,5634.0,78634.0,128714.0,0.7719866632721664,0.4025771320446218,0.44196774504911757,1.3877193183476277,0.4823164667697194,0.8491433300100854,0.49487712176838533,0.535963642901561,1.5714970941484867,0.5619435596927513
IMD,1.0,5,0.8085358624777712,0.453416149068323,0.4839453610076282,1.479253112033195,0.5159784195748242,24552.0,20367.0,5814.0,77981.0,128714.0,0.7643855477404313,0.4121721401415296,0.43262674474254637,1.4012698975206848,0.4657815696521185,0.8428767056185494,0.5059399356623594,0.526092954639214,1.5947098503212134,0.5475352107327118
IMD,1.0,6,0.8121254034117105,0.46644309822587626,0.47493500240731823,1.5220970822630573,0.5022792464830376,24661.0,21559.0,5705.0,76789.0,128714.0,0.7671054797979403,0.42174908316740406,0.4199804633268779,1.434834241066799,0.44660267481220933,0.8479835578995895,0.5225668887258762,0.5202066929677591,1.6541686371395916,0.5366734779908703
IMD,1.0,7,0.8123888559573207,0.4792603381673105,0.46483889202939516,1.5600671803991306,0.48722324447524784,24669.0,22704.0,5697.0,75644.0,128714.0,0.7624344425948715,0.4347447793790633,0.408929462892726,1.4647912187914187,0.4326790933609311,0.8496606997856996,0.5370760407117406,0.5097893991576778,1.702630972383687,0.5221159701388519
IMD,2.5,1,0.7927179018246809,0.4536339416162947,0.4780668772246453,1.450891558252629,0.5465245406462014,19072.0,15835.0,4987.0,88820.0,128714.0,0.7555069332222101,0.4256774954341879,0.43175905254502156,1.3890910556886509,0.5050889876059295,0.8217493950049947,0.5010435019026549,0.5073087351196013,1.5453413181242268,0.571145957572218
IMD,2.5,2,0.7777962508832453,0.4656176823347992,0.4636061837280745,1.4555052163431563,0.5291827032893799,18713.0,16305.0,5346.0,88350.0,128714.0,0.7414745628238103,0.43802359324016527,0.4220185657009488,1.39101402655358,0.490893713006608,0.8071234392946648,0.5088837845707858,0.49184088822152755,1.5457999960541497,0.5522141710406017
IMD,2.5,3,0.760588553140197,0.4740911050438281,0.451214400197263,1.4462363356747994,0.5145524826668383,18299.0,16496.0,5760.0,88159.0,128714.0,0.7208163159498713,0.4446610217679025,0.41122353266527834,1.3744379232423696,0.47876936725664704,0.7928210784072018,0.5167484635121762,0.48039436148126236,1.5420298659646174,0.5368436604454309
IMD,2.5,4,0.7423833077018995,0.4799534138884845,0.44054460696051106,1.4275323163888773,0.5022010853838282,17861.0,16484.0,6198.0,88171.0,128714.0,0.6984796924600596,0.45063918385218,0.3996697409257184,1.355450678327674,0.4672773817969302,0.777203444137075,0.5210922290478297,0.46960417282887285,1.5141800227004671,0.5253951436561161
IMD,2.5,5,0.7325325242113139,0.493984897642769,0.4271035284994184,1.447649528243069,0.48460402984533946,17624.0,17205.0,6435.0,87450.0,128714.0,0.6887864847013567,0.46467778736232307,0.38464992620773497,1.3775385239935987,0.4485524566617483,0.7705803816732698,0.5382368614005959,0.45846358733854037,1.5407212155256587,0.504534951345956
IMD,2.5,6,0.7340288457541876,0.5066901310092461,0.4185032465993649,1.4879670809260568,0.47201749422921196,17660.0,18139.0,6399.0,86516.0,128714.0,0.6850097080305843,0.47527862176522195,0.3724415000079246,1.41533889338355,0.432818800057692,0.7713295350043983,0.5533967955961495,0.4510890795474331,1.5817550221019898,0.49560993704485207
IMD,2.5,7,0.7358161187081758,0.5178921568627451,0.410971306527997,1.526247973731244,0.4607423631191063,17703.0,19017.0,6356.0,85638.0,128714.0,0.685476709152966,0.48422855111093355,0.36512150597864396,1.4503720746424367,0.4223222876260306,0.7787902474911965,0.5655731643400125,0.447006736106232,1.63333384036231,0.4831754936143866
ERA5,1.0,1,0.8438854576080853,0.16364688599029514,0.7242901478497215,1.0090061763054463,0.754956462815276,37574.0,7352.0,6951.0,76837.0,128714.0,0.8127092475685069,0.1331708891437725,0.6835669034574647,0.9753011475317006,0.7213643770859234,0.8695714025681268,0.19705300369245496,0.7618436238807011,1.050943109511739,0.7805248456215121
