point_id,lat,lon,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,FAR_lo,FAR_hi,NPV,NPV_lo,NPV_hi,wet_days,n
p0000,9.5,77.0,1.0,1,0.9775280898876404,0.36403508771929827,0.6268011527377522,1.5370786516853931,0.45079620970290407,0.3022743591584692,0.419078448822783,0.9586776859504132,0.9316165951359084,0.9802028732284993,445,926
p0001,9.5,78.5,1.0,1,0.859375,0.5703125,0.40145985401459855,2.0,0.40973258706467663,0.5060922492740674,0.6452729267452484,0.9501845018450185,0.923943199875149,0.9712319664694532,192,926
p0002,11.0,77.0,1.0,1,0.8108108108108109,0.7360703812316716,0.24861878453038674,3.0720720720720722,0.2653580282922561,0.6602171197782762,0.8146449236649836,0.9641025641025641,0.9406298793144621,0.9829067121729237,111,926
p0003,11.0,78.5,1.0,1,0.8193548387096774,0.5709459459459459,0.39197530864197533,1.9096774193548387,0.44019320825124436,0.495028479681945,0.6576455154110621,0.9555555555555556,0.9329070867953337,0.9726225363943068,155,926
p0004,12.5,75.5,1.0,1,0.9574468085106383,0.21875,0.7550335570469798,1.225531914893617,0.6834973639607076,0.17247379536695154,0.27103199746554724,0.9428571428571428,0.9094729623824451,0.9711065235342692,470,926
p0005,12.5,77.0,1.0,1,0.7763157894736842,0.512396694214876,0.427536231884058,1.5921052631578947,0.42509784197538625,0.4491938097553071,0.5786558944327628,0.9094138543516874,0.8708403616022722,0.9396582463522597,228,926
p0006,12.5,78.5,1.0,1,0.8155339805825242,0.5058823529411764,0.4444444444444444,1.6504854368932038,0.46798498560938506,0.4337327984925484,0.5862319566960705,0.9351535836177475,0.9043310743927511,0.9627753511982057,206,926
p0007,12.5,80.0,1.0,1,0.9012345679012346,0.6021798365122616,0.381201044386423,2.265432098765432,0.4083721080696382,0.5367782208525796,0.6636143938215934,0.9713774597495528,0.9565020558131397,0.9844020797227037,162,926
p0008,14.0,75.5,1.0,1,0.9093851132686084,0.33569739952718675,0.623059866962306,1.3689320388349515,0.6219663895412783,0.2727019639603158,0.3995220588235294,0.9443339960238568,0.9124174258407829,0.9680732926973606,309,926
p0009,14.0,77.0,1.0,1,0.8787878787878788,0.6005509641873278,0.3785900783289817,2.2,0.4029658284977434,0.5245504703687532,0.6738772563176896,0.9644760213143873,0.9427512412258175,0.9834457542795423,165,926
p0010,14.0,78.5,1.0,1,0.7861271676300579,0.5584415584415584,0.39420289855072466,1.7803468208092486,0.42883029648386545,0.49089505089505087,0.6283921893591705,0.9401294498381877,0.9086053125300211,0.9648323054667275,173,926
p0011,14.0,80.0,1.0,1,0.8198198198198198,0.48732394366197185,0.4607594936708861,1.5990990990990992,0.4763806075150923,0.4072164948453608,0.5714526214526214,0.9299474605954466,0.8982126322751323,0.9565982596642537,222,926
p0012,15.5,74.0,1.0,1,0.9758064516129032,0.22103004291845493,0.7642105263157895,1.2526881720430108,0.7584070219248795,0.1496291166114333,0.30806909803571086,0.9804347826086957,0.960247263640063,0.9935092567007461,372,926
p0013,15.5,75.5,1.0,1,0.8202247191011236,0.45112781954887216,0.4899328859060403,1.4943820224719102,0.4769528056484578,0.3838081519419547,0.5170509267536801,0.9089184060721063,0.8659708660702121,0.9423126283367557,267,926
p0014,15.5,77.0,1.0,1,0.8407643312101911,0.5900621118012422,0.3804034582132565,2.050955414012739,0.4186236662130672,0.5162942656322015,0.6630102040816326,0.9586092715231788,0.937716859430605,0.9765997801848635,157,926
p0015,15.5,78.5,1.0,1,0.8396624472573839,0.42485549132947975,0.5182291666666666,1.459915611814346,0.5442113160961437,0.3501794941803436,0.4934170864315983,0.9344827586206896,0.905186708992941,0.960134345176376,237,926
p0016,15.5,80.0,1.0,1,0.8290155440414507,0.49843260188087773,0.45454545454545453,1.6528497409326426,0.4934383351663067,0.42468003080282296,0.572564214978337,0.9456342668863262,0.9190544646216883,0.9681543540377839,193,926
p0017,17.0,74.0,1.0,1,0.9444444444444444,0.3182957393483709,0.655421686746988,1.3854166666666667,0.6741185909267654,0.23768334771354616,0.41181053157807024,0.969639468690702,0.9454896791764843,0.989648033126294,288,926
p0018,17.0,75.5,1.0,1,0.8520408163265306,0.4984984984984985,0.4613259668508287,1.6989795918367347,0.4974646413483321,0.4319461958806221,0.5729672805642634,0.9510961214165261,0.9311396034471586,0.9670007641158205,196,926
p0019,17.0,77.0,1.0,1,0.8059701492537313,0.5235294117647059,0.42744063324538256,1.691542288557214,0.4483949424353393,0.44589960919656907,0.607507110930516,0.9334470989761092,0.902563025210084,0.9591898828496915,201,926
p0020,17.0,78.5,1.0,1,0.7925531914893617,0.5130718954248366,0.4318840579710145,1.627659574468085,0.4699113286680608,0.44779135338345866,0.5840031746031745,0.9370967741935484,0.9123348837209302,0.9611666169989178,188,926
p0021,17.0,80.0,1.0,1,0.841025641025641,0.4906832298136646,0.46458923512747874,1.6512820512820512,0.5044370572145361,0.42856026785714285,0.5577631920495421,0.9486754966887417,0.9222959227310493,0.9688048832726495,195,926
p0022,17.0,81.5,1.0,1,0.8855721393034826,0.5412371134020618,0.43309002433090027,1.9303482587064678,0.4459759961791094,0.4797117139493947,0.599216420468177,0.9572490706319703,0.9334468659889902,0.9768708034781184,201,926
p0023,18.5,74.0,1.0,1,0.8649789029535865,0.375,0.5694444444444444,1.3839662447257384,0.6096737173594983,0.2970061950329111,0.45947297297297296,0.9464882943143813,0.9142843219159008,0.9704898637166939,237,926
p0024,18.5,75.5,1.0,1,0.8895348837209303,0.5578034682080925,0.4191780821917808,2.011627906976744,0.4556626479298144,0.48010743974984743,0.6267169117647059,0.9672413793103448,0.9473684210526315,0.9826777102689154,172,926
p0025,18.5,77.0,1.0,1,0.859375,0.4811320754716981,0.4782608695652174,1.65625,0.5239727201069262,0.41016004902945785,0.5492806069061736,0.9555921052631579,0.930573543257663,0.9763153180053747,192,926
p0026,18.5,78.5,1.0,1,0.8735632183908046,0.5489614243323442,0.4233983286908078,1.9367816091954022,0.46143126071197776,0.4881974804417855,0.6161847909474492,0.9626485568760611,0.9401027341727942,0.9800355040274364,174,926
p0027,18.5,80.0,1.0,1,0.8181818181818182,0.3181818181818182,0.5921052631578947,1.2,0.6210228922979432,0.2515147486182074,0.3840333163312622,0.9161073825503355,0.8832410912856731,0.9425829238329237,275,926
