threshold_mm,lead_days,win_pooled_lo,win_pooled_hi,win_strat_lo,win_strat_hi,maxV_pooled,maxV_strat,argmax_pooled,argmax_strat,V0.1_pooled,V0.1_strat,V0.1_mean,V0.1_gap,V0.1_gap_lo,V0.1_gap_hi,V0.2_pooled,V0.2_strat,V0.2_mean,V0.2_gap,V0.2_gap_lo,V0.2_gap_hi,V0.3_pooled,V0.3_strat,V0.3_mean,V0.3_gap,V0.3_gap_lo,V0.3_gap_hi,V0.5_pooled,V0.5_strat,V0.5_mean,V0.5_gap,V0.5_gap_lo,V0.5_gap_hi
1.0,1,0.06,0.56,0.06,0.56,0.6558044488815399,0.573795217630559,0.24,0.22,0.39958107943222027,0.3873718720172615,0.36441214477770184,0.01220920741495879,2.220446049250313e-16,0.02958431259294515,0.6257676821084313,0.5708672434297962,0.54426062409727,0.05490043867863503,0.0218814674866984,0.09817417991670016,0.5852033759561917,0.5333192187582707,0.486008729143823,0.051884157197920944,0.01164774990844152,0.1203072759362165,0.22749127313442663,0.22350215160542822,0.09975356213494191,0.003989121528998413,-2.220446049250313e-16,0.01088388746555781
1.0,2,0.06,0.56,0.06,0.56,0.639818772380467,0.5533120793482109,0.24,0.22,0.36289502582665645,0.34993982653442074,0.3268186660247597,0.012955199292235708,2.7755575615628914e-16,0.033004786325276765,0.6071297840322122,0.5494951379334461,0.5230908299699255,0.05763464609876612,0.023605663192569473,0.1037477699244265,0.567683781673112,0.513608214682687,0.4660217968092928,0.05407556699042493,0.012579152798173981,0.12627931016726238,0.20219982875584547,0.19808010592518996,0.07190553231367723,0.004119722830655509,-2.1464492509781774e-16,0.011225690185323493
1.0,3,0.08,0.56,0.08,0.56,0.6253358153336315,0.5347527163439577,0.24,0.22,0.3296355797779315,0.3160040668962924,0.29146120595611774,0.013631512881639107,3.885780586188048e-16,0.0341925401823002,0.5902407776467239,0.5301284891448819,0.50185173714281,0.060112288501842026,0.02233814700484348,0.105038645588359,0.551815470309839,0.49575504154978095,0.44541939035757366,0.05606042876005807,0.013683294152771577,0.12731994143925177,0.17931238885595754,0.17507447864945339,0.044103963997970605,0.0042379102065041585,-2.498001805406602e-16,0.012149025825271135
1.0,4,0.08,0.54,0.08,0.54,0.6094489335371625,0.5136758477644328,0.24,0.22,0.28397120429495265,0.26941113001618205,0.2457625329237393,0.014560074278770596,0.001518625263220566,0.03651058306835104,0.5704030585268638,0.5073805470699335,0.48014574068586974,0.06302251145693027,0.026906821672351065,0.11202816091659461,0.5362294295311486,0.4782194463557938,0.4284429467242229,0.05800998317535483,0.011619945929658954,0.12796620739925688,0.16525060923401175,0.16094008606421614,0.030871968208585596,0.004310523169795605,-2.220446049250313e-16,0.011826265255306384
1.0,5,0.08,0.54,0.08,0.54,0.5967304152497426,0.4978545505584183,0.24,0.22,0.26085939724244517,0.24582935635141107,0.2211832466824054,0.015030040891034102,3.0531133177191805e-16,0.038356010257974714,0.5564424289258553,0.4913718723037093,0.4639839283736983,0.06507055662214595,0.02547896468657944,0.11865573335263183,0.521085612668304,0.46118138993277946,0.41059420548102243,0.05990422273552454,0.013032921422863143,0.13420653735442445,0.13781861292234754,0.13336643495531272,-0.00020784300903751326,0.004452177967034815,-1.6653345369377348e-16,0.012374068427993132
1.0,6,0.08,0.52,0.08,0.52,0.5879238206165482,0.48798392361041404,0.24,0.22,0.2587139545288161,0.2436402871726754,0.21992063741337345,0.015073667356140713,2.7755575615628914e-16,0.039506198943281334,0.5487554398665963,0.482557190495067,0.45246137798506547,0.06619824937152924,0.027276728941831252,0.11845522094631554,0.5078518267611334,0.44629227756311907,0.3899839466755229,0.06155954919801432,0.014615376476955188,0.13676064010146238,0.10215372456036358,0.09751737835153852,-0.04965331153619256,0.004636346208825054,-2.0816681711721685e-16,0.012241295110974767
1.0,7,0.08,0.52,0.08,0.52,0.5762799113967492,0.4743013922028614,0.24,0.22,0.2478037174116403,0.23250819604099834,0.21059159515799,0.015295521370641968,3.885780586188048e-16,0.037953023682866106,0.5374384837515761,0.4695800200545661,0.43938347215461176,0.06785846369700999,0.027492496303087165,0.12045218608903778,0.4919552883394021,0.42840734663632124,0.3689506669832755,0.06354794170308087,0.0135168996564692,0.14477482605473893,0.06471053151551084,0.059880834160874065,-0.09684614721706739,0.004829697354636779,-2.7755575615628914e-16,0.01277815281062799
2.5,1,0.06,0.54,0.06,0.54,0.6316128655529544,0.5465914850481494,0.18,0.2,0.4198270507859156,0.3874108376968613,0.3659659293251674,0.03241621308905429,0.0036934783584373423,0.07034888500597962,0.628174487717694,0.5465914850481494,0.5133481380024469,0.08158300266954466,0.03170239171164109,0.1310604385299527,0.5106434776412746,0.47782065172625754,0.42092269156800266,0.03282282591501706,0.0031746967074854433,0.07430902736258989,0.13454424539673296,0.13454424539673246,0.0037470627013011,4.996003610813204e-16,-6.38378239159465e-16,6.106226635438361e-16
2.5,2,0.06,0.52,0.06,0.52,0.6114949118532321,0.5224404460212866,0.18,0.2,0.3844632363480006,0.3500711280607747,0.330189782158904,0.03439210828722594,0.008201977900431517,0.07538105404501783,0.6083690095182676,0.5224404460212866,0.4907046243273879,0.08592856349698097,0.03125676733386646,0.13692892364155856,0.48734955140042646,0.45296432169400663,0.39713244776391704,0.03438522970641983,0.00405654175179723,0.07829191078948167,0.10008728542333425,0.10008728542333437,-0.029235325917594958,-1.1102230246251565e-16,-6.663072871226916e-16,5.689893001203927e-16
2.5,3,0.08,0.52,0.08,0.52,0.5916487506569204,0.49903699949315716,0.18,0.2,0.3470354975873108,0.31055217571153115,0.2894289994981365,0.03648332187577963,0.006989534331546826,0.08020914325219129,0.5891766075065463,0.49903699949315716,0.46555925988580515,0.09013960801338916,0.03271102539691994,0.14384789026392314,0.46673950348251025,0.43097188693949795,0.37275250676149674,0.035767616543012304,0.0034069994917327816,0.08207920134843186,0.0749407706055949,0.07494077060559473,-0.057863877367386796,1.6653345369377348e-16,-5.761016663718977e-16,5.828670879282072e-16
