threshold_mm,lead_days,ecmwf_pooled,ecmwf_strat,ceiling_pooled,ceiling_strat,above_pooled,above_strat
1.0,1,0.5663495581698749,0.5396839494363539,0.5055419905359957,0.4633558252862697,True,True
1.0,2,0.5524055902957654,0.5244308469444594,0.5055419905359957,0.4633558252862697,True,True
1.0,3,0.5397939491500693,0.5103199970652633,0.5055419905359957,0.4633558252862697,True,True
1.0,4,0.5292041129467742,0.49799935658757055,0.5055419905359957,0.4633558252862697,True,True
1.0,5,0.5159784195748242,0.48424824324791116,0.5055419905359957,0.4633558252862697,True,True
1.0,6,0.5022792464830376,0.46917601629094635,0.5055419905359957,0.4633558252862697,False,True
1.0,7,0.48722324447524784,0.4540534902304518,0.5055419905359957,0.4633558252862697,False,False
2.5,1,0.5465245406462014,0.5165028740928994,0.4604264377020402,0.41613584933577946,True,True
2.5,2,0.5291827032893799,0.49825930918317674,0.4604264377020402,0.41613584933577946,True,True
2.5,3,0.5145524826668383,0.48055578894555384,0.4604264377020402,0.41613584933577946,True,True
2.5,4,0.5022010853838282,0.46686050873675533,0.4604264377020402,0.41613584933577946,True,True
2.5,5,0.48460402984533946,0.4472346208323697,0.4604264377020402,0.41613584933577946,True,True
2.5,6,0.47201749422921196,0.4343925095364731,0.4604264377020402,0.41613584933577946,True,True
2.5,7,0.4607423631191063,0.4204306756461512,0.4604264377020402,0.41613584933577946,True,True
