threshold_mm,lead_days,alpha,V,V_lo,V_hi,base_rate
1.0,1,0.1,0.39958107943222027,0.3194012732721383,0.4648817249314228,0.2359183927156331
1.0,1,0.3,0.5852033759561917,0.5075250239943492,0.6390678019575774,0.2359183927156331
1.0,1,0.02,-1.4099117419774678,,,0.2359183927156331
1.0,1,0.04,-0.27897872859641265,,,0.2359183927156331
1.0,1,0.06,0.09799894253060552,,,0.2359183927156331
1.0,1,0.08,0.2864877780941148,,,0.2359183927156331
1.0,1,0.12,0.47497661365762395,,,0.2359183927156331
1.0,1,0.14,0.5288305666757694,,,0.2359183927156331
1.0,1,0.16,0.5692210314393786,,,0.2359183927156331
1.0,1,0.18,0.6006358373666301,,,0.2359183927156331
1.0,1,0.2,0.6257676821084313,,,0.2359183927156331
1.0,1,0.22,0.6463301005335415,,,0.2359183927156331
1.0,1,0.24,0.6558044488815399,,,0.2359183927156331
1.0,1,0.26,0.6335428493104842,,,0.2359183927156331
1.0,1,0.28,0.6100444942077031,,,0.2359183927156331
1.0,1,0.32,0.5589010154545913,,,0.2359183927156331
1.0,1,0.34,0.5310045724983483,,,0.2359183927156331
1.0,1,0.36,0.5013646018573404,,,0.2359183927156331
1.0,1,0.38,0.46981237504594475,,,0.2359183927156331
1.0,1,0.4,0.43615666644712275,,,0.2359183927156331
1.0,1,0.42,0.40017987449665815,,,0.2359183927156331
1.0,1,0.44,0.36163331169258867,,,0.2359183927156331
1.0,1,0.46,0.3202314479400695,,,0.2359183927156331
1.0,1,0.48,0.2756448254373565,,,0.2359183927156331
1.0,1,0.5,0.22749127313442663,,,0.2359183927156331
1.0,1,0.52,0.17532492480625259,,,0.2359183927156331
1.0,1,0.54,0.11862237227562866,,,0.2359183927156331
1.0,1,0.56,0.05676504224222069,,,0.2359183927156331
1.0,1,0.58,-0.010983462080083254,,,0.2359183927156331
1.0,1,0.6,-0.0855068168346176,,,0.2359183927156331
1.0,1,0.62,-0.16787473524752394,,,0.2359183927156331
1.0,1,0.64,-0.25939464459519773,,,0.2359183927156331
1.0,1,0.66,-0.3616816021014213,,,0.2359183927156331
1.0,1,0.68,-0.47675442929592365,,,0.2359183927156331
1.0,1,0.7,-0.607170300116358,,,0.2359183927156331
1.0,1,0.72,-0.7562170096254265,,,0.2359183927156331
1.0,1,0.74,-0.9281939821358904,,,0.2359183927156331
1.0,1,0.76,-1.1288337833980997,,,0.2359183927156331
1.0,1,0.78,-1.3659535485261622,,,0.2359183927156331
1.0,1,0.8,-1.6504972666798405,,,0.2359183927156331
1.0,1,0.82,-1.9982729222009978,,,0.2359183927156331
1.0,1,0.84,-2.4329924916024486,,,0.2359183927156331
1.0,1,0.86,-2.991917652261459,,,0.2359183927156331
1.0,1,0.88,-3.7371511998067994,,,0.2359183927156331
1.0,1,0.9,-4.780478166370285,,,0.2359183927156331
1.0,1,0.92,-6.3454686162155,,,0.2359183927156331
1.0,1,0.94,-8.953786032624192,,,0.2359183927156331
1.0,1,0.96,-14.17042086544161,,,0.2359183927156331
1.0,1,0.98,-29.820325363893723,,,0.2359183927156331
1.0,2,0.1,0.36289502582665645,0.2741143028723241,0.4336186275388327,0.2359183927156331
1.0,2,0.3,0.567683781673112,0.4874164861516088,0.6170617669429395,0.2359183927156331
1.0,2,0.02,-1.5909830398177895,,,0.2359183927156331
1.0,2,0.04,-0.369809248790011,,,0.2359183927156331
1.0,2,0.06,0.03724868155258198,,,0.2359183927156331
1.0,2,0.08,0.24077764672387847,,,0.2359183927156331
1.0,2,0.12,0.44430661189517495,,,0.2359183927156331
1.0,2,0.14,0.5024577448012597,,,0.2359183927156331
1.0,2,0.16,0.5460710944808231,,,0.2359183927156331
1.0,2,0.18,0.5799925886760393,,,0.2359183927156331
1.0,2,0.2,0.6071297840322122,,,0.2359183927156331
1.0,2,0.22,0.6293329438690809,,,0.2359183927156331
